In-State Rank 2003,In-State Rank 2002,Out-of-State Rank 2003,School,State,Enrollment,*SAT or ACT,Admission Rate,Student/Faculty Ratio,4-year Grad. Rate,6-year Grad. Rate,In-State Total Costs,In-State Costs After Aid,Total Out-of-State Costs,Out-of-State Costs After Aid,% Met by Aid,Avg. Debt at Grad.
58,34,36,"University of California, Irvine",CA,19179,24/55,0.57,18,0.34,0.72,15635,8507,22450,13944,0.81,12513
59,26,69,"University of Missouri, Columbia",MO,19698,68,0.88,18,0.32,0.65,13208,8138,22655,14517,0.87,17137
60,79,10,"University of Minnesota, Morris",MN,1910,61,0.82,14,0.5,0.76,13477,8427,13477,5050,0.81,9208
61,64,48,University of Alabama,AL,15441,46,0.85,18,0.31,0.61,11197,8136,18357,10221,0.72,18978
62,71,76,University of South Carolina,SC,16567,29/36,0.7,17,0.31,0.58,11795,8794,21133,12339,0.91,15260
63,33,37,St. Mary's College of Maryland,MD,1823,67/60,0.59,12,0.58,0.67,16908,12908,23228,10320,0.61,17125
64,55,80,Michigan Technological University,MI,5915,68,0.92,11,0.22,0.63,14135,9339,25025,15686,0.81,15711
65,75,60,"University of California, Santa Barbara",CA,17714,38/55,0.51,19,0.44,0.73,16154,10231,24246,14015,0.87,NA
66,--,95,"University of Minnesota, Twin Cities Campus",MN,32457,64,0.74,15,0.17,0.53,13910,7902,25540,17638,0.79,NA
67,67,61,Mississippi University for Women,MS,2166,56,0.65,13,0.21,0.43,8649,8649,13316,4667,0.8,13500
68,44,22,"California Polytechnic State University, San Luis Obispo",CA,17401,39/64,0.39,19,0.17,0.66,11781,10429,15268,4839,0.76,12842
69,--,70,University of Wyoming,WY,9250,42,0.95,15,0.22,0.54,10863,6833,16713,9880,0.75,18311
70,84,88,George Mason University,VA,16687,26/29,0.66,16,0.25,0.48,11602,7597,21442,13845,0.72,14143
71,59,93,University of Central Florida,FL,32044,30/36,0.62,24,0.25,0.49,10839,8353,21867,13514,0.77,14927
72,39,75,Ohio State University,OH,36855,69,0.74,14,0.25,0.59,15249,11315,25113,13798,0.75,15011
73,--,42,Illinois State University,IL,18353,47,0.81,19,0.28,0.55,12971,7199,17441,10242,0.8,13921
74,--,33,"University at Buffalo, The State University of New York",NY,17054,28/41,0.61,14,0.32,0.56,13422,9956,19372,9416,0.69,16255
75,53,55,Salisbury University,MD,6206,26/35,0.5,17,0.5,0.68,12895,9506,19783,10277,0.66,14773
76,--,77,University of Massachusetts Amherst,MA,18606,32/38,0.58,19,0.41,0.61,14480,9714,23333,13619,0.87,15321
77,62,84,University of Vermont,VT,8792,35/38,0.71,14,0.48,0.67,17116,8258,30168,21910,0.9,22425
78,78,71,College of Charleston,SC,10044,47/47,0.6,14,0.32,0.52,14008,11214,21270,10056,0.67,15135
79,--,96,Indiana University Bloomington,IN,30752,27/33,0.81,20,0.4,0.65,13129,8704,24164,15460,0.64,16930
80,18,82,Pennsylvania State University University Park Campus,PA,34829,40/60,0.57,17,0.43,0.8,17017,12872,26639,13767,0.75,17900
81,65,49,State University of New York at Albany,NY,11953,26/35,0.56,21,0.52,0.66,13574,9599,19524,9925,0.71,15108
82,--,85,University of Arizona,AZ,28278,27/33,0.86,19,0.29,0.55,11163,8506,19933,11427,NA,17340
83,89,78,Towson University,MD,14296,18/26,0.58,19,0.3,0.56,12776,8651,20422,11771,0.81,15530
84,--,56,"Rutgers, The State University of New Jersey, Camden",NJ,3800,19/24,0.54,11,0.21,0.6,16189,10111,22703,12592,0.91,15223
85,88,74,"University of Maryland, Baltimore County",MD,9549,46/63,0.63,17,0.28,0.53,16516,12946,23368,10422,0.61,14500
86,72,89,University of Connecticut,CT,14716,33/42,0.62,17,0.23,0.7,14413,9141,25197,16056,0.79,16093
87,46,81,University of Pittsburgh,PA,17910,48/56,0.55,17,0.35,0.6,17025,12723,26337,13614,0.86,20154
88,--,64,State University of New York College at Fredonia,NY,4900,22/25,0.53,18,0.47,0.66,11782,8961,17732,8771,0.77,12430
89,60,57,"Stony Brook University, State University of New York",NY,14224,25/50,0.54,18,0.3,0.51,13645,9704,19595,9891,0.72,15747
90,74,65,State University of New York at New Paltz,NY,6187,30/29,0.4,17,0.21,0.52,11276,8276,16176,7900,0.75,15000
91,--,90,University of Maine,ME,8817,22/29,0.79,15,0.29,0.56,12780,8162,21480,13318,0.79,17917
92,--,91,University of New Hampshire,NH,11496,25/32,0.77,14,0.48,0.71,15779,13693,26139,12446,0.8,20700
93,45,92,"University of Missouri, Rolla",MO,3849,83,0.92,14,0.1,0.52,14326,9416,23144,13728,0.87,17991
94,98,79,"University of California, Santa Cruz",CA,12881,37/39,0.8,19,0.4,0.64,16877,9309,24250,14941,0.9,13282
95,94,66,Rowan University,NJ,8324,22/33,0.44,14,0.37,0.63,15416,10632,20812,10180,0.91,NA
96,--,99,University of Illinois at Chicago,IL,16543,43,0.63,15,0.09,0.37,14299,6399,23995,17596,0.86,17000
97,--,100,University of Oregon,OR,16041,30/31,0.86,18,0.36,0.59,12795,9586,24231,14645,0.77,22783
98,--,86,Texas Tech University,TX,22768,23/29,0.69,20,0.22,0.51,12968,9878,20048,10170,0.52,13805
99,96,98,Ohio University,OH,17343,49,0.75,20,0.43,0.7,16514,13102,24737,11635,0.68,15285
100,--,94,UC Riverside,CA,14124,16/34,0.86,19,0.39,0.64,16751,9932,24530,17711,0.82,13226
